Country,Count,Most popular Genre
United States,66,hip hop
United Kingdom,8,rock
Australia,4,rock
Canada,4,dance music
South Korea,3,hip hop
Niger,3,pop
Sweden,1,dance music
Philippines,1,dance music
Puerto Rico,1,dance music
Denmark,1,electronic music
Italy,1,electronic music
Jamaica,1,hip hop
Lithuania,1,hip hop
U.S. JIDEducationStephenson High SchoolHampton University (no degree,1,pop
Netherlands,1,pop
Panama,1,rock
