,0,1,2,3
0,https://en.wikipedia.org/wiki/Mt._Joy_(band),U.S.,-1,2016–present
0,https://en.wikipedia.org/wiki/YG_(rapper),U.S.,-1,2006–present
0,https://en.wikipedia.org/wiki/Kid_Cudi,U.S.,-1,-1
0,https://en.wikipedia.org/wiki/YFN_Lucci,U.S.,-1,2014–present
0,https://en.wikipedia.org/wiki/Lil_Uzi_Vert,U.S.,-1,2012–present
0,https://en.wikipedia.org/wiki/Axwell_%26_Ingrosso,-1,-1,2014–2018 (on hiatus)
0,https://en.wikipedia.org/wiki/Bob_Marley,Colony of Jamaica,-1,1962–1981
0,http://en.wikipedia.org/wiki/ZZ_Top,U.S.,-1,1969–present
0,https://en.wikipedia.org/wiki/Air_Supply,Australia,-1,1975–present
0,https://en.wikipedia.org/wiki/Turnpike_Troubadours,U.S.,-1,2007–20192021–present
0,https://en.wikipedia.org/wiki/Ski_Mask_the_Slump_God,Florida,-1,2014–present
0,https://en.wikipedia.org/wiki/Hwasa,South Korea,-1,2014–present
0,https://en.wikipedia.org/wiki/Eric_Church,U.S.,-1,2005–present
0,https://en.wikipedia.org/wiki/KB_(rapper),U.S.,-1,2006–present
0,https://en.wikipedia.org/wiki/GJan,Lithuania,-1,2010–present
0,https://en.wikipedia.org/wiki/JellyRoll,],-1,-1
0,https://en.wikipedia.org/wiki/Berlin_Philharmonic,-1,-1,-1
0,https://en.wikipedia.org/wiki/Oh_Wonder,United Kingdom,-1,2014–present
0,https://en.wikipedia.org/wiki/CNCO,U.S.,-1,2015–present
0,https://en.wikipedia.org/wiki/xscape_(group),U.S.,-1,1991–1998 2001–2006 2017–present
0,https://en.wikipedia.org/wiki/XV_(rapper),U.S.,-1,2000–present
0,https://en.wikipedia.org/wiki/Gym_Class_Heroes,U.S.,-1,1997–2012 2018–2019
0,https://en.wikipedia.org/wiki/DaBaby,U.S.,-1,2014–present
0,https://en.wikipedia.org/wiki/Keith_Urban,Australia,-1,-1
0,https://wikipedia.org/wiki/Feid,],-1,2013–present[1]
0,https://en.wikipedia.org/wiki/RAC_(DJ),Portugal,-1,-1
0,https://en.wikipedia.org/wiki/MGMT,U.S.,-1,2004–present
0,https://en.wikipedia.org/wiki/YCEE,Nigeria,-1,2012–present
0,https://en.wikipedia.org/wiki/Nicki_Minaj,U.S.,-1,-1
0,https://en.wikipedia.org/wiki/Rvssian,),-1,2007–present
0,https://pt.wikipedia.org/wiki/PK_(rapper),-1,-1,-1
0,https://en.wikipedia.org/wiki/Playboi_Carti,U.S.,-1,2011–present[6]
0,https://en.wikipedia.org/wiki/Vance_Joy,St Kevin's CollegeMonash University,-1,2013–present
0,https://en.wikipedia.org/wiki/OG_Parker,United States,-1,2013–present
0,https://en.wikipedia.org/wiki/Five_Finger_Death_Punch,U.S.,-1,2005–present
0,https://en.wikipedia.org/wiki/Whitney_Houston,U.S.,-1,-1
0,https://en.wikipedia.org/wiki/Outkast,U.S.,-1,1992–20072014
0,https://en.wikipedia.org/wiki/BJ_the_Chicago_Kid,U.S.,-1,2001–present
0,https://en.wikipedia.org/wiki/Excision_(musician),Canada,-1,2006–present
0,https://en.wikipedia.org/wiki/JJ_Heller,California,-1,2003–present
0,https://en.wikipedia.org/wiki/Mustard_(record_producer),U.S.,-1,2009–present
0,https://en.wikipedia.org/wiki/Gunna_(rapper),U.S.,-1,2013–present
0,https://en.wikipedia.org/wiki/J.I.D,U.S. JIDEducationStephenson High SchoolHampton University (no degree),-1,2010–present
0,https://en.wikipedia.org/wiki/OneRepublic,U.S.,-1,2002–present
0,https://de.wikipedia.org/wiki/Wiener_Philharmoniker,-1,-1,-1
0,https://en.wikipedia.org/wiki/frank_sinatra,U.S.,-1,-1
0,https://en.wikipedia.org/wiki/Jeff_D'Agostino,U.S.,-1,2002–present (acting) 2011-present (musician)
0,https://en.wikipedia.org/wiki/Megan_Thee_Stallion,U.S.,-1,-1
0,https://en.wikipedia.org/wiki/Panic!_at_the_Disco,U.S.,-1,2004–2015 (as a band) 2015–present (as a solo project)
0,https://en.wikipedia.org/wiki/Taylor_Swift,U.S.,-1,-1
0,https://en.wikipedia.org/wiki/XYLO,US,-1,2015–present
0,https://es.wikipedia.org/wiki/ZPU,-1,-1,-1
0,https://en.wikipedia.org/wiki/Lvndscape,Netherlands,-1,2015–present
0,https://en.wikipedia.org/wiki/Ozuna_(singer),Puerto Rico,-1,-1
0,https://en.wikipedia.org/wiki/Billie_Eilish,U.S.,-1,-1
0,https://en.wikipedia.org/wiki/Cigarettes_After_Sex,U.S.,-1,2008–present
0,https://en.wikipedia.org/wiki/Sech_(singer),Panama,-1,2014–present
0,https://en.wikipedia.org/wiki/AC/DC,Australia,-1,1973–present
0,https://en.wikipedia.org/wiki/Blackbear_(musician),U.S.,-1,2006–present
