Name,ID,Instagram,Wikipedia,SpotifyFollowers,MonthlyListeners,Singles,TopTrackPlays,EarliestAlbum,MonthSinceRelease,Albums,AppearsOn,DiscoveredOn
GC,14hbYquxWHsucJsovNJqGq,-1,-1,336,5526,39,2796241,2014-07-14,97,3,88,79
Agatha Lee Monn,6kHu5ICQRBZdsAHjAjQlmp,-1,-1,1910,1443488,0,243189807,-1,-1,0,6,95
Skeez,2VWRwW6HEugI8FWTDv9exG,https://instagram.com/skeez,-1,5106,697369,9,3741404,-1,-1,0,15,92
Jason Mraz,4phGZZrJZRo4ElhRtViYdl,https://instagram.com/jason_mraz,-1,6760865,13743539,32,1414822915,2012-04-13,124,19,661,93
HELLSTRVCK,4aNZYL0FCIl9zzPMC6yvEZ,https://instagram.com/hellstrvck,-1,16236,110936,22,9843961,-1,-1,0,11,92
Jesse McCartney,2Hjj68yyUPiC0HKEOigcEp,https://instagram.com/jessemccartney,https://en.wikipedia.org/wiki/Jesse_McCartney,915037,3483404,18,292617323,2004-01-01,223,7,100,90
The GC5,7zYbGZv3ZBtRFqsRJjFFEn,-1,-1,1485,496,0,26775,2006-12-30,188,2,0,8
Historical Music Archival,2aMnu8wNry6CVoMM6E7K8M,-1,-1,4738,114089,0,1105890,2022-05-06,3,4,0,95
HL Wave,1bqrqSeWJyuwoW91townnc,https://instagram.com/hlwave_,-1,3793,49932,12,26070432,-1,-1,0,2,91
Cxrpse,69B0S7YBt4xKC2HCJMISyv,https://instagram.com/ssjcxrpse,-1,26966,81843,56,1710759,2018-04-19,52,4,97,92
BGVV,2ZZmOU69olG4AWM3c3LX1T,-1,-1,64,47145,4,5268972,2022-07-24,1,1,0,29
Dzihan & Kamien,0jyyByk1ca4r8gaqMYVPUI,-1,-1,52061,150137,4,10425030,2000-05-08,267,8,9,92
SJ,4CxaWKLsnDdSkSaOtL3zC0,-1,-1,46103,346404,14,32051867,-1,-1,0,24,92
WC,1k5duLAj81wj6ORIEBRQvz,https://instagram.com/wc956,-1,188,942,10,75204,2019-02-08,42,1,0,3
sao kzu,4vLrnJJFCRWwCDzFSDeybo,https://instagram.com/broder.natur,-1,496,45108,29,360087,2021-05-28,15,1,12,96
ZZ Ward,7aJSIsbI5wV8aFi2kkFfPi,https://instagram.com/zzward,-1,148896,315060,19,17559809,2012-01-01,127,2,19,88
Leat'eq,1iBxtU5394iPOzmot1FDUD,https://instagram.com/leateq_official,-1,21921,467955,40,56714718,-1,-1,0,2,93
Amitabh Bhattacharya,2fMqTqiTxUDlmcOEPaQSsx,https://instagram.com/amitabhbhattacharyaofficial,-1,12805,12609947,9,50697009,2006-12-30,188,3,81,94
CG Music,7IO2bnQkvSBYAMTUnCtgJW,-1,-1,26,56,2,35072,-1,-1,0,1,0
RSR Beats,3CG4x75Gm32mtPywsvuxZ2,https://instagram.com/rsrbeats,-1,659,80209,8,1870828,2020-04-22,28,1,3,95
IY,4QmcFALqmn1nbFPqudlKLL,-1,-1,1969,25413,13,825012,2005-03-07,209,4,10,92
Ysabelle Cuevas,323nxrsc0C5JSsmlN2srN8,https://instagram.com/justysabelle,-1,93890,632508,5,29917671,-1,-1,0,4,92
Texako Archive,3hoUTRhDvTdOjRSvUl9cB8,-1,-1,92,36119,10,4222739,-1,-1,0,0,96
Aaron Lewis,2t2XKfWKLXpFIjFwy1K8wx,https://instagram.com/aaronlewismusic,https://en.wikipedia.org/wiki/Aaron_Lewis,694694,1780176,2,95268376,2011-11-01,129,6,32,89
Yonatan Awate,6ptntg50Xz0ACYkxCIOHz0,-1,-1,677,676349,5,29599915,-1,-1,0,0,95
Lil Yachty,6icQOAFXDZKsumw3YXyusw,https://instagram.com/lilyachty,-1,8280833,9117070,47,304266284,2016-07-05,73,8,618,88
SDIB,2MaFPufCitym0I69vYCflS,-1,-1,23308,192084,0,13393027,2007-01-01,187,2,0,89
Miu Lê,4e5LAUvM35jleGg8gElTsP,-1,-1,249517,348937,15,3573950,2015-06-16,86,3,16,91
M. M. Keeravani,12l1SqSNsg2mI2IcXpPWjR,-1,-1,1291667,4677256,139,28893956,2022-04-16,4,91,146,96
Zach Callison,57YFNq46Xx86nl7ETkd1Ei,-1,https://en.wikipedia.org/wiki/Zach_Callison,47238,337774,3,22319352,2018-08-03,48,1,7,93
M V P,2LcnJ9L2cellRnmt2GibL5,https://instagram.com/the305mvp/,https://en.wikipedia.org/wiki/Montel_Vontavious_Porter,1469,21229,13,839088,-1,-1,0,2,93
KWON EUN BI,0qr7Rhj0yU7BPySYecNUlm,https://instagram.com/silver_rain.__/,-1,99793,317752,8,7031719,-1,-1,0,2,93
TR3NVHN,39KbP1IIyixr4ywrXT6vKn,https://instagram.com/trenvhn,-1,6006,381904,14,2647828,-1,-1,0,0,95
Jewel,6FbDoZnMBTdhhhLuJBOOqP,https://instagram.com/jewel,https://en.wikipedia.org/wiki/Jewel_(singer),650223,1815579,20,91809504,2006-05-02,195,15,71,91
WDR Sinfonieorchester Köln,1K91XZsljzXqn1oYcPIsfL,-1,-1,1403,55525,4,922488,2019-11-08,33,98,121,92
L.T.D.,0H4sfMNK9hoasHItAgD1kJ,-1,https://en.wikipedia.org/wiki/L.T.D._(band),305477,465544,3,19701097,1976-01-01,559,8,36,89
